fiscalDateEnding,reportedEPS,YoY_EPS_Change,SUE,Date
2025-03-31,0.5775,,,2025-03-31
2024-12-31,-0.74,,,2024-12-31
2024-09-30,3.8246,,,2024-09-30
2024-06-30,1.32,,,2024-06-30
2024-03-31,1.66,1.8744588744588744,0.585005880747252,2024-03-31
2023-12-31,-4.75,5.418918918918919,2.4460732983513997,2023-12-31
2023-09-30,-0.33,-1.0862835329184752,-0.48924979334296154,2023-09-30
2023-06-30,0.86,-0.3484848484848485,-0.15767255348569734,2023-06-30
2023-03-31,0.87,-0.47590361445783125,-0.21703566818072137,2023-03-31
2022-12-31,1.19,-1.2505263157894737,-0.5677188949543138,2022-12-31
2022-09-30,1.72,-6.212121212121212,-4.8152173123112245,2022-09-30
2022-06-30,2.01,1.337209302325581,1.3542255619633325,2022-06-30
2022-03-31,0.64,-0.26436781609195403,-0.15393047387841707,2022-03-31
2021-12-31,0.81,-0.31932773109243695,-0.18629696929131537,2021-12-31
2021-09-30,0.59,-0.6569767441860466,-0.39587690623113014,2021-09-30
2021-06-30,-1.22,-1.6069651741293534,-0.9432879433414167,2021-06-30
2021-03-31,-0.06,-1.09375,-0.6356508576736174,2021-03-31
2020-12-31,-0.69,-1.8518518518518516,-1.0287004578758836,2020-12-31
2020-09-30,-1.18,-3.0,-1.571012230607082,2020-09-30
2020-06-30,-1.03,-0.15573770491803274,-0.08849165114251199,2020-06-30
2020-03-31,0.26,-5.333333333333334,-4.196514316201094,2020-03-31
2019-12-31,-0.45,-0.3478260869565216,-0.24254330120332465,2019-12-31
2019-09-30,1.46,-2.2372881355932206,-1.5349943628572156,2019-09-30
2019-06-30,-0.16,-0.8446601941747574,-0.515806062854647,2019-06-30
2019-03-31,-0.54,-3.076923076923077,-2.0431488928566948,2019-03-31
2018-12-31,1.2,-3.6666666666666665,-3.2480891093075717,2018-12-31
2018-09-30,1.05,-0.2808219178082191,-0.02139009334071557,2018-09-30
2018-06-30,0.22,-2.375,-0.1803676481380288,2018-06-30
2018-03-31,0.79,-2.462962962962963,-0.18212669477765717,2018-03-31
2017-12-31,1.75,0.4583333333333335,0.03420939744995552,2017-12-31
2017-09-30,0.14,-0.8666666666666667,-0.06473596257302662,2017-09-30
2017-06-30,0.34,0.5454545454545456,0.04134829792419233,2017-06-30
2017-03-31,0.04,-0.9493670886075949,-0.07070612860400938,2017-03-31
2016-12-31,0.28,-0.84,-0.06277716556983098,2016-12-31
2016-09-30,-5.17,-37.92857142857142,-12.153077088847448,2016-09-30
2016-06-30,-0.13,-1.3823529411764706,-0.4446757644057937,2016-06-30
2016-03-31,0.18,3.5,1.288460603821398,2016-03-31
