Price,High,Low,Close,ATR
Ticker,BK,BK,BK,
Date,,,,
2025-09-04,105.69000244140625,104.77999877929688,105.55999755859375,1.6733222354006132
2025-09-05,106.05999755859375,102.9000015258789,103.69000244140625,1.7327891872931824
2025-09-08,104.6500015258789,103.48999786376953,104.0199966430664,1.7098777662858302
2025-09-09,106.18000030517578,103.16999816894531,104.7699966430664,1.7618827410836155
2025-09-10,104.95999908447266,102.62999725341797,104.0,1.7846075046824585
2025-09-11,106.33000183105469,103.66000366210938,105.5999984741211,1.8200231312529727
2025-09-12,106.5199966430664,105.05000305175781,106.4800033569336,1.8060219496551975
2025-09-15,107.01000213623047,106.0999984741211,106.41999816894531,1.7701812181533645
2025-09-16,107.0,104.7699966430664,105.48999786376953,1.7885741037045735
2025-09-17,107.20999908447266,105.80999755859375,107.01000213623047,1.7858311883845155
2025-09-18,108.69999694824219,106.80999755859375,108.5199966430664,1.7899979164350723
2025-09-19,109.20999908447266,108.16999816894531,108.70999908447266,1.759998036398763
2025-09-22,109.72000122070312,107.2699966430664,109.45999908447266,1.7875982980482812
2025-09-23,110.87000274658203,108.0999984741211,108.66000366210938,1.8268945370247873
2025-09-24,109.5,107.81999969482422,108.11000061035156,1.8210187677508272
2025-09-25,109.47000122070312,107.6500015258789,109.08000183105469,1.820978004833763
2025-09-26,110.27999877929688,108.87999725341797,109.52999877929688,1.8041389456755688
2025-09-29,110.16000366210938,108.69999694824219,109.75,1.7903736564032335
2025-09-30,110.75,108.06999969482422,108.95999908447266,1.8259587223541356
2025-10-01,109.08000183105469,106.77999877929688,106.83000183105469,1.8449204955302827
2025-10-02,107.31999969482422,105.77999877929688,106.37999725341797,1.8327237123301652
2025-10-03,107.55999755859375,105.72000122070312,106.5999984741211,1.8330146173525836
2025-10-06,107.5,105.37000274658203,106.43000030517578,1.844893922795199
2025-10-07,107.19000244140625,106.0,106.93000030517578,1.8186982635396411
2025-10-08,107.52999877929688,105.42890167236328,106.30000305175781,1.8299942172753991
