Price,High,Low,Close,ATR
Ticker,ORCL,ORCL,ORCL,
Date,,,,
2025-09-04,223.57000732421875,219.55999755859375,223.0,7.073533584894431
2025-09-05,234.6199951171875,225.88999938964844,232.8000030517578,7.255392046186153
2025-09-08,242.4199981689453,235.30999755859375,238.47999572753906,7.349976169026207
2025-09-09,243.49000549316406,234.55999755859375,241.50999450683594,7.413177439647971
2025-09-10,345.7200012207031,312.0899963378906,328.3299865722656,11.28505061061674
2025-09-11,331.0,304.6000061035156,307.8599853515625,11.889648342051444
2025-09-12,307.9700012207031,291.75,292.17999267578125,12.062862457197511
2025-09-15,307.0299987792969,297.2900085449219,302.1400146484375,12.174348203050235
2025-09-16,319.9700012207031,302.2699890136719,306.6499938964844,12.40057373781885
2025-09-17,308.6600036621094,295.0299987792969,301.4100036621094,12.449750983618594
2025-09-18,303.82000732421875,292.0,296.6199951171875,12.4245612372426
2025-09-19,311.1099853515625,297.32000732421875,308.6600036621094,12.507178397127895
2025-09-22,329.5,306.9200134277344,328.1499938964844,12.910090724133402
2025-09-23,325.0,310.04998779296875,313.8299865722656,13.11768733930869
2025-09-24,312.4700012207031,300.0299987792969,308.4599914550781,13.14497935745509
2025-09-25,298.75,288.54998779296875,291.3299865722656,13.415580329641262
2025-09-26,294.0,283.0,283.4599914550781,13.31895711645561
2025-09-29,285.9800109863281,279.6099853515625,282.760009765625,13.04099985718801
2025-09-30,284.0,275.8999938964844,281.239990234375,12.843360107041116
2025-10-01,289.989990234375,277.8800048828125,289.010009765625,12.81402511682197
2025-10-02,294.9700012207031,286.04998779296875,288.7799987792969,12.658264649258467
2025-10-03,294.6400146484375,284.0,286.1400146484375,12.577534649225628
2025-10-06,296.67999267578125,290.79998779296875,291.5899963378906,12.496032384350354
2025-10-07,293.2200012207031,271.0,284.239990234375,12.884991137804464
2025-10-08,291.5299987792969,283.6000061035156,289.94000244140625,12.686791199323535
