Date,VIX_Price,Signal,Capital,Position,Portfolio_Value
1990-01-02,17.24,0,10000.0,0.0,10000.0
1990-01-03,18.19,0,10000.0,0.0,10000.0
1990-01-04,19.22,0,10000.0,0.0,10000.0
1990-01-05,20.11,0,10000.0,0.0,10000.0
1990-01-08,20.26,0,10000.0,0.0,10000.0
1990-01-09,22.2,0,10000.0,0.0,10000.0
1990-01-10,22.44,0,10000.0,0.0,10000.0
1990-01-11,20.05,0,10000.0,0.0,10000.0
1990-01-12,24.64,0,10000.0,0.0,10000.0
1990-01-15,26.34,0,10000.0,0.0,10000.0
1990-01-16,24.18,0,10000.0,0.0,10000.0
1990-01-17,24.16,0,10000.0,0.0,10000.0
1990-01-18,24.34,0,10000.0,0.0,10000.0
1990-01-19,22.5,0,10000.0,0.0,10000.0
1990-01-22,26.7,0,10000.0,0.0,10000.0
1990-01-23,24.72,0,10000.0,0.0,10000.0
1990-01-24,25.39,0,10000.0,0.0,10000.0
1990-01-25,25.63,0,10000.0,0.0,10000.0
1990-01-26,26.28,0,10000.0,0.0,10000.0
1990-01-29,26.44,0,10000.0,0.0,10000.0
1990-01-30,27.25,0,10000.0,0.0,10000.0
1990-01-31,25.36,0,10000.0,0.0,10000.0
1990-02-01,24.87,0,10000.0,0.0,10000.0
1990-02-02,24.32,0,10000.0,0.0,10000.0
1990-02-05,24.54,0,10000.0,0.0,10000.0
1990-02-06,24.69,0,10000.0,0.0,10000.0
1990-02-07,24.29,0,10000.0,0.0,10000.0
1990-02-08,23.77,0,10000.0,0.0,10000.0
1990-02-09,23.69,0,10000.0,0.0,10000.0
1990-02-12,24.38,0,10000.0,0.0,10000.0
1990-02-13,23.76,0,10000.0,0.0,10000.0
1990-02-14,22.05,0,10000.0,0.0,10000.0
1990-02-15,19.71,0,10000.0,0.0,10000.0
1990-02-16,20.78,0,10000.0,0.0,10000.0
1990-02-20,22.78,0,10000.0,0.0,10000.0
1990-02-21,23.89,0,10000.0,0.0,10000.0
1990-02-22,22.54,0,10000.0,0.0,10000.0
1990-02-23,23.69,0,10000.0,0.0,10000.0
1990-02-26,23.56,0,10000.0,0.0,10000.0
1990-02-27,22.69,0,10000.0,0.0,10000.0
1990-02-28,21.99,0,10000.0,0.0,10000.0
1990-03-01,21.9,0,10000.0,0.0,10000.0
1990-03-02,21.34,0,10000.0,0.0,10000.0
1990-03-05,22.03,0,10000.0,0.0,10000.0
1990-03-06,20.55,0,10000.0,0.0,10000.0
1990-03-07,19.1,0,10000.0,0.0,10000.0
1990-03-08,19.74,0,10000.0,0.0,10000.0
1990-03-09,20.3,0,10000.0,0.0,10000.0
1990-03-12,20.07,0,10000.0,0.0,10000.0
1990-03-13,21.05,0,10000.0,0.0,10000.0
1990-03-14,19.65,0,10000.0,0.0,10000.0
1990-03-15,18.81,0,10000.0,0.0,10000.0
1990-03-16,17.62,0,10000.0,0.0,10000.0
1990-03-19,18.29,0,10000.0,0.0,10000.0
1990-03-20,19.06,0,10000.0,0.0,10000.0
1990-03-21,20.1,0,10000.0,0.0,10000.0
1990-03-22,22.74,0,10000.0,0.0,10000.0
1990-03-23,20.46,0,10000.0,0.0,10000.0
1990-03-26,19.59,0,10000.0,0.0,10000.0
1990-03-27,21.01,0,10000.0,0.0,10000.0
1990-03-28,19.77,0,10000.0,0.0,10000.0
1990-03-29,18.46,0,10000.0,0.0,10000.0
1990-03-30,19.73,0,10000.0,0.0,10000.0
1990-04-02,22.84,0,10000.0,0.0,10000.0
1990-04-03,20.44,0,10000.0,0.0,10000.0
1990-04-04,22.03,0,10000.0,0.0,10000.0
1990-04-05,21.21,0,10000.0,0.0,10000.0
1990-04-06,21.76,0,10000.0,0.0,10000.0
1990-04-09,22.3,0,10000.0,0.0,10000.0
1990-04-10,21.69,0,10000.0,0.0,10000.0
1990-04-11,17.73,0,10000.0,0.0,10000.0
1990-04-12,19.8,0,10000.0,0.0,10000.0
1990-04-16,20.75,0,10000.0,0.0,10000.0
1990-04-17,20.38,0,10000.0,0.0,10000.0
1990-04-18,22.67,0,10000.0,0.0,10000.0
1990-04-19,22.46,0,10000.0,0.0,10000.0
1990-04-20,23.33,0,10000.0,0.0,10000.0
1990-04-23,24.16,0,10000.0,0.0,10000.0
1990-04-24,21.7,0,10000.0,0.0,10000.0
1990-04-25,20.86,0,10000.0,0.0,10000.0
1990-04-26,20.25,0,10000.0,0.0,10000.0
1990-04-27,22.19,0,10000.0,0.0,10000.0
1990-04-30,19.52,0,10000.0,0.0,10000.0
1990-05-01,18.43,0,10000.0,0.0,10000.0
1990-05-02,19.32,0,10000.0,0.0,10000.0
1990-05-03,17.81,0,10000.0,0.0,10000.0
1990-05-04,17.28,0,10000.0,0.0,10000.0
1990-05-07,17.65,0,10000.0,0.0,10000.0
1990-05-08,18.49,0,10000.0,0.0,10000.0
1990-05-09,18.64,0,10000.0,0.0,10000.0
1990-05-10,18.59,0,10000.0,0.0,10000.0
1990-05-11,19.81,0,10000.0,0.0,10000.0
1990-05-14,20.14,0,10000.0,0.0,10000.0
1990-05-15,19.49,0,10000.0,0.0,10000.0
1990-05-16,17.71,0,10000.0,0.0,10000.0
1990-05-17,17.27,0,10000.0,0.0,10000.0
1990-05-18,17.2,0,10000.0,0.0,10000.0
1990-05-21,16.72,0,10000.0,0.0,10000.0
1990-05-22,17.84,0,10000.0,0.0,10000.0
1990-05-23,17.18,0,10000.0,0.0,10000.0
1990-05-24,17.7,0,10000.0,0.0,10000.0
1990-05-25,17.32,0,10000.0,0.0,10000.0
1990-05-29,18.75,0,10000.0,0.0,10000.0
1990-05-30,17.44,0,10000.0,0.0,10000.0
1990-05-31,17.37,0,10000.0,0.0,10000.0
1990-06-01,17.09,0,10000.0,0.0,10000.0
1990-06-04,18.39,0,10000.0,0.0,10000.0
1990-06-05,18.97,0,10000.0,0.0,10000.0
1990-06-06,17.42,0,10000.0,0.0,10000.0
1990-06-07,16.88,0,10000.0,0.0,10000.0
1990-06-08,17.58,0,10000.0,0.0,10000.0
1990-06-11,16.34,0,10000.0,0.0,10000.0
1990-06-12,16.6,0,10000.0,0.0,10000.0
1990-06-13,17.38,0,10000.0,0.0,10000.0
1990-06-14,17.4,0,10000.0,0.0,10000.0
1990-06-15,15.9,0,10000.0,0.0,10000.0
1990-06-18,17.71,0,10000.0,0.0,10000.0
1990-06-19,15.23,0,10000.0,0.0,10000.0
1990-06-20,15.27,0,10000.0,0.0,10000.0
1990-06-21,14.72,0,10000.0,0.0,10000.0
1990-06-22,19.36,0,10000.0,0.0,10000.0
1990-06-25,17.06,0,10000.0,0.0,10000.0
1990-06-26,16.29,0,10000.0,0.0,10000.0
1990-06-27,16.0,0,10000.0,0.0,10000.0
1990-06-28,16.18,0,10000.0,0.0,10000.0
1990-06-29,15.5,0,10000.0,0.0,10000.0
1990-07-02,16.26,0,10000.0,0.0,10000.0
