Year-Month,SPY Monthly Max Drawdown,VXX/VIX Monthly Max Drawdown,Ultra Monthly Max Drawdown
2006-07,-0.022511791978049756,-0.022511791978049756,-0.022511791978049756
2006-08,-0.08464777806370005,-0.08464777806370005,-0.08464777806370005
2006-09,-0.06101752136826333,-0.06101752136826333,-0.06101752136826333
2006-10,-0.03111587505087421,-0.03111587505087421,-0.03111587505087421
2006-11,-0.08702840858941796,-0.08702840858941796,-0.08702840858941796
2006-12,-0.09292300887386662,-0.09292300887386662,-0.09292300887386662
2007-01,-0.132325804387477,-0.132325804387477,-0.132325804387477
2007-02,-0.1136356251535483,-0.12838317732314464,-0.12178089904174494
2007-03,-0.5385189323012297,-0.6633987241367687,-0.6056066579504729
2007-04,-0.10443737655231045,-0.2508810549591892,-0.16838241956584288
2007-05,-0.046447820527292905,-0.04644782052729168,-0.046447820527292016
2007-06,-0.3008343837172702,-0.3008343837172708,-0.3008343837172692
2007-07,-0.30659368271146703,-0.30659368271146625,-0.30659368271146525
2007-08,-0.7501727729995376,-0.6248080974571039,-0.6888053161779363
2007-09,-0.45141232378817897,-0.2344024839428115,-0.31150935431401827
2007-10,-0.2874823949721762,-0.2767620313994942,-0.2767620313994902
2007-11,-0.7423610022628513,-0.7133237851631951,-0.7239834302066843
2007-12,-0.6480948889061645,-0.5768088388909065,-0.6036200192619883
2008-01,-0.9273548262917166,-0.9117866836689513,-0.91765955168745
2008-02,-0.9355064613976385,-0.9224418895186498,-0.9273555660801027
2008-03,-0.9617433297508385,-0.9553262950246999,-0.9574610991348002
2008-04,-0.9386862958491643,-0.9362105999456215,-0.936431659148768
2008-05,-0.8851683730368133,-0.8807567335178453,-0.8811503203169837
2008-06,-0.9551625260247703,-0.9534399450829951,-0.9535936260708038
2008-07,-0.9902952490054012,-0.989903395134966,-0.989938384450182
2008-08,-0.9806589616324279,-0.9799159112075864,-0.979982202852009
2008-09,-0.993586100062112,-0.9886786254590163,-0.9908510349650808
2008-10,-0.9999801206765436,-0.9994051176913304,-0.9997793674542976
2008-11,-0.9999688298702922,-0.9987404448093226,-0.9995151082896242
2008-12,-0.9999939579749104,-0.9996240692660803,-0.9998778143087681
