,StdDev
RCTB4.BA,0.00013552288553347558
MBG,0.004241870118260784
KO,0.009514453519371066
MMC,0.010466457163509784
BRK-B,0.010659773142266939
PG,0.01077799863995262
JNJ,0.010875227291251224
UL,0.010929847010827125
TJX,0.011224106439795073
CL,0.011369837611490732
MCD,0.011430018397039754
PEP,0.011468399135654919
KMB,0.011589485685961153
NVS,0.0115905066915009
ADP,0.011731039944862659
V,0.011862112047523151
PSO,0.01194808059811982
MDLZ,0.01196430855501369
MO,0.012013672419699948
MA,0.01202130768228361
ABT,0.012362680307201042
LMT,0.01254465873188937
SYY,0.012623591127805218
ORLY,0.012716160055380649
SPGI,0.012767555840996979
MDT,0.012823950303467353
AVY,0.012824840787664755
SHEL,0.012910411828808607
MSI,0.01298393449301967
E,0.013107135531408194
VRSN,0.013115004996114855
BBAS3.SA,0.013151814251305531
