,StdDev
RCTB4.BA,0.0
MBG,0.06057634512383737
XLP,0.13462440795615163
IVE,0.15867908086070892
VIG,0.1592132459792274
XLV,0.16014110034321571
KO,0.1710677342121259
MMC,0.17193943151881416
VEA,0.17373657958090566
EFA,0.17735275388349026
XLRE,0.18071472025810417
ACWI,0.18107916177352448
IEUR,0.18130585389287251
UL,0.18961364541699627
TJX,0.1915216855697745
ADP,0.19162340987258286
XLB,0.19298051038635966
PEP,0.1931163485507683
JNJ,0.19312190408956398
IEMG,0.19384546809609238
XLI,0.1939356900647837
XLC,0.194036360490504
PG,0.19440824683412944
BRK-B,0.1952331901281886
TEF,0.19540450519468147
KMB,0.19701319460501457
MCD,0.19932938100855027
MO,0.20031246207387038
MDT,0.20445092653302557
IBN,0.20499053471755183
NVS,0.20673703345846592
ORLY,0.209027540693592
IJH,0.20904230811262076
CL,0.210543088961976
MDLZ,0.21093277495611001
