Ticker;MarketCap;ActualPrice;TargetMeanPrice;TargetMeanPricePct;FinancialCurrency;OperatingIncome_TTM;EnterpriseValue;OperatingIncome_EV_Ratio;Eight_Year_ROA;Eight_Year_ROC;FCF_Sum_to_Assets;Eight_Year_Gross_Margin_Growth;Margin_Stability;Years_Data_Available;Current_ROA;FS_ROA;Current_FCFTA;FS_FCFTA;ACCRUAL;FS_ACCRUAL;LEVER;FS_LEVER;LIQUID;FS_LIQUID;ROA_Change;FS_ROA_Change;FCFTA_Change;FS_FCFTA_Change;MARGIN;FS_MARGIN;TURN;FS_TURN;OperatingIncome_EV_Ratio_Percentile;Eight_Year_ROA_Percentile;Eight_Year_ROC_Percentile;FCF_Sum_to_Assets_Percentile;Eight_Year_Gross_Margin_Growth_Percentile;Margin_Stability_Percentile;Current_ROA_Percentile;Current_FCFTA_Percentile;ACCRUAL_Percentile;LEVER_Percentile;LIQUID_Percentile;ROA_Change_Percentile;FCFTA_Change_Percentile;MARGIN_Percentile;TURN_Percentile;Max_Margin_Metric_Percentile;Max_Margin_Source;Franchise_Power_Percentile;Financial_Strength_Score;P_FS;QUALITY
PFE;1.32E+11;23.155;29.49957;27%;USD;15160000000;1.76E+11;9%;8%;73%;33%;5%;10.92832884;5;4%;1;5%;1;1%;1;0%;1;26%;1;3%;1;2%;1;14%;1;4%;1;86%;65%;85%;65%;86%;33%;38%;39%;56%;47%;89%;76%;73%;97%;71%;86%;Growth;75%;9;100%;88%
MO;1.00E+11;59.515;58.37231;-2%;USD;11617000000;1.21E+11;10%;18%;;97%;2%;39.07186791;5;32%;1;24%;1;-8%;0;-1%;0;2%;1;11%;1;1%;1;1%;1;5%;1;91%;94%;;99%;73%;71%;99%;95%;9%;29%;64%;95%;59%;52%;79%;73%;Growth;88%;7;78%;83%
MRK;1.94E+11;77.27;101.90826;32%;USD;20398000000;2.21E+11;9%;10%;43%;44%;2%;30.12358222;5;15%;1;15%;1;1%;1;2%;1;11%;1;14%;1;7%;1;3%;1;-2%;0;88%;72%;71%;76%;73%;66%;85%;84%;55%;75%;80%;97%;92%;86%;33%;73%;Growth;73%;8;89%;81%
SLB;45236895744;33.485;47.49724;42%;USD;6267000000;57341456384;11%;8%;40%;30%;9%;9.213724431;5;9%;1;9%;1;0%;1;0%;1;13%;1;0%;1;0%;0;1%;1;5%;1;94%;62%;69%;61%;92%;28%;69%;66%;48%;45%;81%;54%;42%;54%;79%;92%;Growth;71%;8;89%;80%
SCCO;73803874304;91.7881;92.3992;1%;USD;5900500000;76405456896;8%;17%;35%;60%;-4%;8.605254752;4;18%;1;18%;1;0%;1;7%;1;-44%;0;4%;1;3%;1;6%;1;2%;1;81%;90%;64%;87%;18%;25%;91%;90%;49%;94%;12%;79%;78%;90%;60%;25%;Stability;67%;8;89%;78%
AZN;2.19E+11;70.375;84.59917;20%;USD;10810000000;1.35E+11;8%;4%;78%;24%;7%;10.28851685;5;7%;1;7%;1;0%;1;-3%;0;11%;1;1%;1;0%;1;-1%;0;7%;1;82%;41%;86%;51%;89%;31%;55%;55%;50%;15%;78%;61%;52%;23%;85%;89%;Growth;67%;7;78%;72%
BHP;1.27E+11;49.6298;51.5;4%;USD;22905000000;2.65E+11;9%;15%;34%;70%;-2%;21.59631569;5;8%;1;12%;1;4%;1;-3%;0;48%;1;-5%;0;0%;0;2%;1;1%;1;86%;89%;62%;94%;27%;54%;63%;74%;75%;16%;97%;11%;43%;82%;55%;54%;Stability;75%;6;67%;71%
BIIB;18300395520;124.8935;171.95;38%;USD;2266600000;22529366016;10%;7%;33%;29%;-2%;27.90632015;5;6%;1;9%;1;3%;1;9%;1;-65%;0;1%;1;4%;1;2%;1;-2%;0;91%;59%;62%;60%;28%;63%;49%;65%;74%;97%;8%;68%;83%;72%;29%;63%;Stability;61%;7;78%;69%
CAAP;3394166272;21.07;22.33333;6%;USD;435302000;4293679872;10%;4%;301%;27%;40%;2.618443768;5;7%;1;9%;1;3%;1;7%;1;17%;1;0%;0;0%;0;-2%;0;5%;1;92%;38%;96%;57%;97%;10%;54%;67%;71%;95%;85%;46%;41%;17%;76%;97%;Growth;72%;6;67%;69%
BKR;36058345472;36.395;46.63269;28%;USD;3474000000;39162540032;9%;3%;26%;16%;2%;37.65324889;5;8%;1;5%;1;-2%;0;0%;1;7%;1;3%;1;0%;1;0%;1;4%;1;87%;33%;53%;39%;75%;70%;64%;45%;22%;52%;75%;74%;49%;47%;70%;75%;Growth;50%;8;89%;69%
KGC;18152034304;14.77;14.9375;1%;USD;1874200000;18445463552;10%;2%;6%;23%;21%;2.692092193;5;9%;1;13%;1;4%;1;10%;1;-62%;0;5%;1;8%;1;9%;1;7%;1;92%;31%;22%;49%;96%;10%;68%;76%;76%;98%;9%;85%;93%;94%;88%;96%;Growth;49%;8;89%;69%
UAL;24250124288;74.25;92.79739;25%;USD;5598000000;42416644096;13%;1%;5%;6%;115%;1.711536531;5;4%;1;5%;1;1%;1;5%;1;-2%;0;1%;1;6%;1;1%;1;1%;1;97%;27%;18%;23%;99%;7%;41%;43%;58%;88%;57%;58%;90%;52%;58%;99%;Growth;42%;8;89%;65%
YELP;2401751040;37.62;38.56778;3%;USD;169288000;2128302336;8%;8%;15%;89%;0%;155.1496143;5;14%;1;25%;1;12%;1;;0;-21%;0;4%;1;-2%;0;0%;0;12%;1;82%;61%;34%;97%;40%;98%;83%;95%;91%;;23%;82%;17%;31%;95%;98%;Stability;72%;5;56%;64%
HPQ;26113814528;27.701;32.42133;17%;USD;4098000000;34876035072;12%;10%;;39%;1%;19.19927892;5;7%;1;8%;1;1%;1;4%;1;-1%;0;-2%;0;0%;0;1%;1;-11%;0;96%;74%;;73%;69%;51%;56%;60%;58%;86%;60%;26%;43%;53%;6%;69%;Growth;72%;5;56%;64%
PBI;1784435712;9.845;17;73%;USD;330362000;3506549504;9%;-4%;341%;11%;20%;4.553535059;5;-6%;0;5%;1;11%;1;-6%;0;-30%;0;3%;1;5%;1;3%;1;11%;1;90%;13%;98%;32%;96%;15%;10%;39%;89%;8%;18%;78%;85%;85%;93%;96%;Growth;60%;6;67%;63%
TGT;42869338112;94.35;105.78125;12%;USD;5566000000;59699916800;9%;8%;18%;21%;-1%;13.57803729;5;7%;1;8%;1;1%;1;2%;1;3%;1;0%;0;1%;1;1%;1;-10%;0;89%;65%;42%;47%;31%;40%;58%;59%;52%;76%;66%;38%;56%;53%;10%;40%;Stability;49%;7;78%;63%
VZ;1.82E+11;43.28;48.06739;11%;USD;29143000000;3.53E+11;8%;5%;26%;4%;1%;43.35360785;5;5%;1;5%;1;0%;1;5%;1;-7%;0;1%;1;2%;1;1%;1;0%;0;83%;46%;51%;17%;66%;74%;43%;42%;51%;90%;46%;68%;63%;56%;38%;74%;Stability;47%;7;78%;62%
