,skewness,rank,demeaned_rank,weight
VRTX,-3.789946688506678,282.0,140.5,0.014134097882400283
GLOB,-2.549615966759211,281.0,139.5,0.014033499320959712
TGT,-2.485680360774019,280.0,138.5,0.01393290075951914
UNH,-2.2303286834870213,279.0,137.5,0.013832302198078569
LMT,-2.054207113485385,278.0,136.5,0.013731703636637997
ADBE,-2.043972740615174,277.0,135.5,0.013631105075197426
BBAS3.SA,-1.8363683363496408,276.0,134.5,0.013530506513756854
RACE,-1.8145957795966456,275.0,133.5,0.013429907952316283
DECK,-1.6781253606310256,274.0,132.5,0.013329309390875711
MMC,-1.636364505325323,273.0,131.5,0.01322871082943514
ABBV,-1.471444920536987,272.0,130.5,0.013128112267994568
WEGE3.SA,-1.3728077657394744,271.0,129.5,0.013027513706553997
TMUS,-1.3411361437524199,270.0,128.5,0.012926915145113425
HSBC,-1.1676309910879505,269.0,127.5,0.012826316583672854
CVX,-1.147737805006614,268.0,126.5,0.012725718022232282
VST,-1.1308396993196834,267.0,125.5,0.012625119460791711
HPQ,-1.1199876950979792,266.0,124.5,0.01252452089935114
MELI,-0.9902303439299114,265.0,123.5,0.012423922337910568
IFF,-0.9396196812085907,264.0,122.5,0.012323323776469997
MSI,-0.9237938255240415,263.0,121.5,0.012222725215029425
BAC,-0.8955810309369299,262.0,120.5,0.012122126653588854
XYZ,-0.889866471847142,261.0,119.5,0.012021528092148282
RTX,-0.8743852591591251,260.0,118.5,0.01192092953070771
SWKS,-0.8212781638972548,259.0,117.5,0.01182033096926714
SHEL,-0.818081978243619,258.0,116.5,0.011719732407826568
PYPL,-0.8016950962270778,257.0,115.5,0.011619133846385996
CLS,-0.7973853287197676,256.0,114.5,0.011518535284945427
VZ,-0.7972720128373454,255.0,113.5,0.011417936723504855
MOS,-0.783623765328725,254.0,112.5,0.011317338162064284
VOD,-0.7774499162452416,253.0,111.5,0.011216739600623712
XOM,-0.7613565642387389,252.0,110.5,0.01111614103918314
ABT,-0.7612793587552824,251.0,109.5,0.01101554247774257
AEG,-0.7450840232313494,250.0,108.5,0.010914943916301998
LREN3.SA,-0.736655131731951,249.0,107.5,0.010814345354861426
MDT,-0.730578230223142,248.0,106.5,0.010713746793420855
FCX,-0.6886345219734646,247.0,105.5,0.010613148231980283
AEM,-0.672612921336781,246.0,104.5,0.010512549670539712
BP,-0.6501241979098319,245.0,103.5,0.01041195110909914
PBR,-0.6496485445314846,244.0,102.5,0.010311352547658569
PG,-0.6438736922685036,243.0,101.5,0.010210753986217997
E,-0.6427371806059521,242.0,100.5,0.010110155424777426
PDD,-0.631486443221277,241.0,99.5,0.010009556863336854
PSX,-0.6198700052474035,240.0,98.5,0.009908958301896283
T,-0.6191618136109429,239.0,97.5,0.009808359740455712
C,-0.6096010207376253,238.0,96.5,0.00970776117901514
PAAS,-0.602445466217921,237.0,95.5,0.009607162617574569
JNJ,-0.6018442335912523,236.0,94.5,0.009506564056133997
ADP,-0.5718026109146722,235.0,93.5,0.009405965494693426
KGC,-0.5698096752941367,234.0,92.5,0.009305366933252854
FDX,-0.5640675286552194,233.0,91.5,0.009204768371812283
VIV,-0.5420216870939455,232.0,90.5,0.009104169810371711
AIG,-0.5365266375275533,231.0,89.5,0.009003571248931141
EA,-0.5085668330785608,230.0,88.5,0.00890297268749057
OXY,-0.493995148513669,229.0,87.5,0.008802374126049999
MA,-0.4596504370844483,228.0,86.5,0.008701775564609427
MDLZ,-0.4548994380101681,227.0,85.5,0.008601177003168856
LLY,-0.4372392226151038,226.0,84.5,0.008500578441728284
TTE,-0.42336872298863,225.0,83.5,0.008399979880287713
NEM,-0.4166301832433019,224.0,82.5,0.008299381318847141
PSO,-0.4076114507657754,223.0,81.5,0.00819878275740657
SPGI,-0.38659934982505295,222.0,80.5,0.008098184195965998
PHG,-0.3815492021450837,221.0,79.5,0.007997585634525427
NGG,-0.37516496426652585,220.0,78.5,0.007896987073084855
VRSN,-0.3726259300659972,219.0,77.5,0.007796388511644284
USB,-0.3668001563248148,218.0,76.5,0.007695789950203712
IP,-0.3658738299336063,217.0,75.5,0.007595191388763141
EQNR,-0.3567075799533431,216.0,74.5,0.007494592827322569
AMGN,-0.35299854529665814,215.0,73.5,0.007393994265881998
MU,-0.35132507692869624,214.0,72.5,0.0072933957044414265
ACN,-0.3499793955433565,213.0,71.5,0.007192797143000855
V,-0.3416329024240557,212.0,70.5,0.0070921985815602835
NFLX,-0.33136834109790975,211.0,69.5,0.006991600020119713
GFI,-0.32912454868599134,210.0,68.5,0.0068910014586791414
NVS,-0.32780933573884274,209.0,67.5,0.00679040289723857
DD,-0.30408269885766026,208.0,66.5,0.0066898043357979985
