,skewness,rank,demeaned_rank,weight
VRTX,-4.172871782934532,325.0,162.0,0.012269938650306749
HAPV3.SA,-3.5585379780295026,324.0,161.0,0.01219419828826782
KMB,-3.3044233795168787,323.0,160.0,0.012118457926228888
GLOB,-2.553357573982992,322.0,159.0,0.012042717564189957
TEF,-2.4556180431490007,321.0,158.0,0.011966977202151027
UNH,-2.245720783751742,320.0,157.0,0.011891236840112096
ADBE,-2.0890906824045823,319.0,156.0,0.011815496478073166
LMT,-2.0284252916839516,318.0,155.0,0.011739756116034235
BBAS3.SA,-1.7537488795064113,317.0,154.0,0.011664015753995305
RACE,-1.7479685003181087,316.0,153.0,0.011588275391956374
DECK,-1.6513811792092083,315.0,152.0,0.011512535029917444
MSI,-1.5376550720961994,314.0,151.0,0.011436794667878513
MMC,-1.5333307734609773,313.0,150.0,0.011361054305839582
BAC,-1.4432470795756254,312.0,149.0,0.011285313943800652
WEGE3.SA,-1.3828380533708489,311.0,148.0,0.01120957358176172
TMUS,-1.2502913697170053,310.0,147.0,0.011133833219722791
VST,-1.181139155357447,309.0,146.0,0.01105809285768386
CVX,-1.1607468220935457,308.0,145.0,0.01098235249564493
PSQ,-1.1514371458920827,307.0,144.0,0.010906612133605999
MFG,-1.1459155198502204,306.0,143.0,0.010830871771567068
HSBC,-1.122946251888355,305.0,142.0,0.010755131409528138
XYZ,-1.0909455068991725,304.0,141.0,0.010679391047489207
NU,-1.0660072660062945,303.0,140.0,0.010603650685450277
MO,-1.0312264659022647,302.0,139.0,0.010527910323411346
HPQ,-1.0077622169490914,301.0,138.0,0.010452169961372416
GRMN,-0.9896375556195506,300.0,137.0,0.010376429599333485
IP,-0.9319219988092076,299.0,136.0,0.010300689237294554
C,-0.92474917017588,298.0,135.0,0.010224948875255624
ABT,-0.8898014171361854,297.0,134.0,0.010149208513216693
RTX,-0.8850843483639314,296.0,133.0,0.010073468151177763
SHEL,-0.8429154731114344,295.0,132.0,0.009997727789138832
VZ,-0.8393266265475362,294.0,131.0,0.009921987427099902
AEG,-0.7976867692923448,293.0,130.0,0.009846247065060971
XOM,-0.7925676852878738,292.0,129.0,0.009770506703022042
ADP,-0.7785654091468828,291.0,128.0,0.00969476634098311
SWKS,-0.7733082522459127,290.0,127.0,0.009619025978944179
LREN3.SA,-0.7641143715735251,289.0,126.0,0.00954328561690525
MOS,-0.7615890935966915,288.0,125.0,0.009467545254866318
PYPL,-0.7413469772718296,287.0,124.0,0.009391804892827389
USB,-0.7158474732226346,286.0,123.0,0.009316064530788457
FCX,-0.6995980061280174,285.0,122.0,0.009240324168749528
AEM,-0.6769994363497149,284.0,121.0,0.009164583806710596
CLS,-0.6765279883751064,283.0,120.0,0.009088843444671667
AIG,-0.6584684881864532,282.0,119.0,0.009013103082632735
BP,-0.6558170360161371,281.0,118.0,0.008937362720593804
E,-0.6539405056710075,280.0,117.0,0.008861622358554875
T,-0.647679609907017,279.0,116.0,0.008785881996515943
JNJ,-0.6405739903094194,278.0,115.0,0.008710141634477014
PSX,-0.6380547465582557,277.0,114.0,0.008634401272438082
PG,-0.6291365844132116,276.0,113.0,0.008558660910399153
RBLX,-0.5993486718350707,275.0,112.0,0.008482920548360222
JPM,-0.5948518562714697,274.0,111.0,0.00840718018632129
PBR,-0.579516630458586,273.0,110.0,0.00833143982428236
PAAS,-0.5775502755412424,272.0,109.0,0.00825569946224343
BRK-B,-0.5597905439428719,271.0,108.0,0.0081799591002045
MDT,-0.5591876728301457,270.0,107.0,0.008104218738165568
KGC,-0.5312371205568369,269.0,106.0,0.008028478376126639
SLV,-0.5273813513542209,268.0,105.0,0.007952738014087708
WFC,-0.5190418579887875,267.0,104.0,0.007876997652048776
PDD,-0.512340775623277,266.0,103.0,0.007801257290009847
GDX,-0.5061761730837295,265.0,102.0,0.007725516927970916
LLY,-0.5033537391755027,264.0,101.0,0.007649776565931986
ABBV,-0.5022468354762041,263.0,100.0,0.0075740362038930545
OXY,-0.49855906632611297,262.0,99.0,0.007498295841854124
VIV,-0.49647310564316255,261.0,98.0,0.007422555479815194
EA,-0.47568450754222125,260.0,97.0,0.007346815117776263
