,skewness,rank,demeaned_rank,weight
DIS,1.0992436764191962,28.0,-111.5,-0.011541845660162517
RGTI,1.1666135959460167,27.0,-112.5,-0.011645359971015993
META,1.192419771379115,26.0,-113.5,-0.011748874281869468
NTES,1.277687784491799,25.0,-114.5,-0.011852388592722944
AMD,1.2799742599438075,24.0,-115.5,-0.01195590290357642
AAL,1.2923899085233954,23.0,-116.5,-0.012059417214429893
AVGO,1.315251834029162,22.0,-117.5,-0.012162931525283369
URBN,1.377913304744968,21.0,-118.5,-0.012266445836136845
SHOP,1.392052159115812,20.0,-119.5,-0.01236996014699032
UAL,1.445003063453652,19.0,-120.5,-0.012473474457843796
ADI,1.4451589573445365,18.0,-121.5,-0.012576988768697272
DOCU,1.5398177567424411,17.0,-122.5,-0.012680503079550747
KEP,1.5567286771605355,16.0,-123.5,-0.012784017390404223
INTC,1.5593047210595388,15.0,-124.5,-0.012887531701257698
HMC,1.5867670050040539,14.0,-125.5,-0.012991046012111174
BB,1.6776258041415544,13.0,-126.5,-0.01309456032296465
DAL,1.7235141946835115,12.0,-127.5,-0.013198074633818125
TM,1.8202862346107498,11.0,-128.5,-0.0133015889446716
BBD,1.8665094477193083,10.0,-129.5,-0.013405103255525075
UPST,2.046595501152244,9.0,-130.5,-0.01350861756637855
FMCC,2.050686100929649,8.0,-131.5,-0.013612131877232026
EBAY,2.1899068366697323,7.0,-132.5,-0.013715646188085502
FNMA,2.3242777846533986,6.0,-133.5,-0.013819160498938977
GRMN,2.4826210190392333,5.0,-134.5,-0.013922674809792453
NG,2.9603695240946175,4.0,-135.5,-0.014026189120645929
SNOW,3.4616805971874562,3.0,-136.5,-0.014129703431499404
ORCL,3.772770174778051,2.0,-137.5,-0.01423321774235288
AAP,5.746255362425842,1.0,-138.5,-0.014336732053206356
