,StdDev
MBG,0.05707562642066983
XLP,0.10705326727260231
IVE,0.10997461839165236
VIG,0.11619914145610719
XLV,0.12356471425067267
DIA,0.12917249801398364
ACWI,0.13427165628871288
IEUR,0.13847727804686674
VEA,0.1399666640160285
EFA,0.1414728936495883
IVV,0.14412485650694493
XLB,0.14431003507193152
SH,0.14445183935142175
SPY,0.1445157909990795
MMC,0.1471693343843304
ESGU,0.14849985440981922
GLD,0.1501760702082014
XLC,0.15042085434526004
KO,0.15238006468119025
ADP,0.15259515081640174
XLI,0.15426410625289713
SPGI,0.16357980103992234
XLU,0.1636550030060452
JNJ,0.16579652138662268
XLRE,0.1660111572604068
PEP,0.16609483158797536
NVS,0.16681540833532216
IEMG,0.16941869163268714
IJH,0.16944756641358422
KMB,0.1696347254362186
XLF,0.1699716463797712
UL,0.17280541912373526
PSO,0.17593276693227228
EEM,0.17598707275842218
