Entry_Date,Exit_Date,Return
2007-10-12,2007-10-15,-0.3647218702725538
2007-10-29,2007-11-14,4.099523391514504
2007-11-15,2007-11-16,-0.48395803060592635
2007-11-23,2007-11-26,-0.2394575323012748
2008-01-10,2008-01-11,-1.3308237147217314
2008-03-17,2008-03-19,-6.2191399624199635
2008-05-12,2008-05-13,-1.073375297858802
2008-05-19,2008-05-30,1.7805298508344638
2008-06-03,2008-06-26,6.217235062207379
2008-06-27,2008-07-07,1.3333665488344553
2008-07-10,2008-07-14,-0.6963298403598155
2008-07-15,2008-07-16,0.0833115193620418
2008-08-12,2008-08-13,1.1169107577939352
2008-08-14,2008-08-15,-1.5796660421151059
2008-08-20,2008-08-21,0.4222418961519491
2008-08-26,2008-08-27,-0.3486898195360257
2008-09-16,2008-11-25,20.016534353742397
2009-01-08,2009-01-12,1.3582663505203205
2009-01-13,2009-02-04,1.7492322479854523
2009-02-09,2009-02-13,3.8873445661228785
2009-02-18,2009-02-19,-0.13729252376253326
2009-03-03,2009-03-04,0.5978451130529349
2010-04-05,2010-04-06,-0.16339029143416345
2010-04-08,2010-04-09,-0.9570629309766
2010-04-12,2010-06-17,5.005170392505478
2010-06-22,2010-07-02,7.849308481827615
2011-04-14,2011-04-28,-3.685973899932914
2011-05-03,2011-05-26,2.8927729960157587
2011-06-02,2011-06-03,1.382175128823881
2011-06-07,2011-06-08,0.7866386556999919
2011-06-09,2011-06-10,-0.04733357528659824
2011-06-13,2011-06-30,-3.218997241154775
2011-07-12,2011-07-21,-1.3177130701867483
2011-07-26,2011-08-30,8.407758569449147
2011-09-07,2011-09-08,-0.6982125635195746
2011-09-12,2011-09-14,-3.3021898454498246
2011-09-15,2011-09-19,0.36654421374258483
2011-09-22,2011-10-04,4.182001153850106
2012-04-03,2012-04-26,1.7455006577992007
2012-05-10,2012-06-07,2.1532084451612037
2012-06-12,2012-06-19,-3.0047307148338813
2012-06-22,2012-06-27,0.5092040281682075
2012-10-11,2012-10-12,0.4998726578331939
2012-10-24,2012-10-26,0.40521894152410215
2012-11-08,2012-11-13,1.5986629661890221
2012-11-15,2012-11-19,-1.444451452995907
2012-12-26,2013-01-03,-2.4131831889497897
2015-05-07,2015-05-11,-1.7387294206876176
2015-06-05,2015-06-08,0.14250952363382538
2015-06-09,2015-06-10,-0.47168985815168846
2015-06-15,2015-06-23,-2.218036745686118
2015-06-30,2015-07-14,-1.3207725744774552
2015-07-16,2015-07-17,-0.24143503507143357
2015-07-28,2015-07-29,-0.8052827419549577
2015-08-13,2015-08-18,-0.7146232811584201
2015-08-19,2015-10-02,8.544135553637465
2018-01-03,2018-01-05,-1.3021848350619774
2018-01-10,2018-01-11,-0.33968974295646076
2018-01-17,2018-03-07,2.4836001030163954
2018-03-15,2018-03-19,0.5492590549249315
2018-03-20,2018-03-21,-0.006729289672795946
2018-03-23,2018-04-02,0.5289253525221285
2018-10-05,2018-11-02,5.251648940228986
2018-11-05,2018-11-08,-2.815944113399763
2018-11-13,2018-11-23,3.85808553045356
2018-12-18,2018-12-27,5.0248150747723095
2020-01-27,2020-02-06,-3.382049958969807
2020-02-10,2020-04-02,24.49677994313054
2022-01-06,2022-01-10,1.0854006845006647
2022-01-14,2022-02-02,0.8559069446264016
2022-02-04,2022-02-09,-2.1468244277560364
2022-02-11,2022-02-28,3.7709520867687396
2022-03-01,2022-03-04,0.60975502130449
2022-03-07,2022-03-16,0.06729552670246211
2022-04-25,2022-04-26,-0.533678791671646
2022-04-27,2022-05-04,-0.06579221237829426
2022-05-06,2022-05-09,1.4964242085392514
2022-05-10,2022-05-16,1.0904458149702478
2022-06-14,2022-06-15,-0.12041164919357102
2022-06-17,2022-06-21,-1.8181760205258253
2022-09-26,2022-10-04,-1.7210759896469419
2023-07-07,2023-07-26,-3.0626895812938364
2023-07-28,2023-07-31,-0.3681894048232055
2023-08-03,2023-08-23,2.5307368297595034
2023-09-22,2023-10-03,1.9607853347432584
2025-01-03,2025-01-06,-1.4657156925146801
2025-01-08,2025-01-16,-0.8520736017784257
2025-01-20,2025-01-22,-1.4617716287429154
2025-01-28,2025-01-31,-1.0353956346702597
2025-02-03,2025-02-05,-1.3054762375750417
2025-02-10,2025-02-11,0.2656896310911298
2025-02-24,2025-03-17,7.178863916499749
2025-03-31,2025-04-01,-1.3459902531105143
